iter	Passed	Remaining
133	2606	191906
134	2620	191516
135	2636	191259
136	2651	190915
137	2670	190854
138	2685	190510
139	2707	190708
140	2725	190577
141	2740	190236
142	2756	189998
143	2772	189766
144	2788	189529
145	2816	190102
146	2837	190172
147	2853	189921
148	2873	189958
149	2888	189701
150	2904	189453
151	2932	189968
152	2947	189672
153	2977	190352
154	2994	190224
155	3010	189960
156	3026	189769
157	3043	189586
158	3059	189381
159	3077	189274
160	3093	189050
161	3112	188992
162	3133	189125
163	3175	190451
164	3214	191579
165	3239	191907
166	3271	192613
167	3296	192894
168	3314	192826
169	3337	192975
170	3364	193387
171	3387	193542
172	3406	193480
173	3426	193476
174	3455	194005
175	3477	194109
176	3522	195475
177	3541	195431
178	3560	195367
179	3586	195641
180	3602	195436
181	3618	195222
182	3639	195258
183	3659	195209
184	3676	195036
185	3692	194845
186	3709	194651
187	3732	194784
188	3753	194838
189	3769	194635
190	3789	194588
191	3804	194352
192	3823	194284
193	3838	194030
194	3859	194075
195	3877	193952
196	3892	193707
197	3908	193470
198	3927	193411
199	3945	193331
200	3962	193180
201	3990	193542
202	4007	193395
203	4039	193970
204	4061	194041
205	4078	193918
206	4095	193746
207	4115	193752
208	4133	193661
209	4153	193636
210	4168	193409
211	4187	193353
212	4207	193309
213	4234	193637
214	4261	193951
215	4283	194030
216	4299	193853
217	4319	193840
218	4335	193653
219	4352	193482
220	4370	193405
221	4390	193395
222	4406	193177
223	4424	193078
224	4436	192749
225	4457	192756
226	4470	192457
227	4491	192512
228	4515	192677
229	4535	192641
230	4575	193491
231	4592	193342
232	4612	193340
233	4629	193213
234	4648	193168
235	4665	193006
236	4684	192965
237	4698	192714
238	4716	192635
239	4733	192514
240	4754	192537
241	4767	192244
242	4789	192295
243	4810	192333
244	4825	192144
245	4843	192057
246	4859	191888
247	4879	191883
248	4894	191660
249	4913	191638
250	4929	191474
251	4949	191445
252	4972	191564
253	4988	191420
254	5008	191407
255	5023	191213
256	5046	191325
257	5073	191558
258	5092	191521
259	5114	191578
260	5129	191419
261	5147	191322
262	5162	191114
263	5183	191156
264	5204	191209
265	5222	191120
266	5240	191044
267	5258	190940
268	5277	190898
269	5292	190738
270	5312	190717
271	5327	190530
272	5350	190636
273	5369	190613
274	5387	190532
275	5407	190501
276	5423	190363
277	5445	190450
278	5464	190395
279	5484	190380
280	5499	190204
281	5516	190120
282	5533	190005
283	5548	189819
284	5569	189854
285	5585	189714
286	5614	190003
287	5632	189938
288	5648	189799
289	5666	189722
290	5681	189568
291	5701	189540
292	5715	189367
293	5733	189292
294	5750	189184
295	5774	189315
296	5795	189343
297	5815	189321
298	5839	189455
299	5860	189494
300	5882	189547
301	5899	189461
302	5916	189361
303	5934	189281
304	5950	189162
305	5970	189149
306	5986	189000
307	6006	189003
308	6020	188822
309	6038	188743
310	6052	188561
311	6070	188483
312	6084	188303
313	6104	188301
314	6119	188138
315	6142	188233
316	6168	188407
317	6182	188236
318	6199	188153
319	6214	188003
320	6231	187895
321	6246	187745
322	6265	187726
323	6280	187554
324	6295	187414
325	6314	187392
326	6333	187365
327	6348	187198
328	6365	187111
329	6380	186964
330	6400	186958
331	6415	186810
332	6438	186911
333	6457	186875
334	6475	186822
335	6492	186741
336	6507	186604
337	6528	186621
338	6553	186778
339	6575	186819
340	6592	186729
341	6609	186650
342	6624	186518
343	6641	186416
344	6657	186316
345	6678	186330
346	6705	186529
347	6724	186503
348	6739	186362
349	6754	186242
350	6771	186158
351	6790	186114
352	6805	185988
353	6824	185953
354	6840	185849
355	6859	185824
356	6874	185698
357	6892	185632
358	6907	185505
359	6927	185516
360	6942	185379
361	6964	185429
362	6979	185305
363	6999	185301
364	7013	185127
365	7031	185098
366	7053	185139
367	7069	185042
368	7087	184992
369	7102	184856
370	7122	184846
371	7138	184745
372	7154	184642
373	7169	184532
374	7185	184417
375	7204	184405
376	7233	184636
377	7249	184537
378	7267	184482
379	7282	184351
380	7303	184388
381	7322	184357
382	7338	184273
383	7356	184229
384	7372	184116
385	7391	184101
386	7411	184106
387	7426	183968
388	7438	183786
389	7459	183816
390	7473	183666
391	7496	183728
392	7511	183615
393	7528	183552
394	7544	183454
395	7561	183380
396	7576	183261
397	7599	183332
398	7620	183376
399	7637	183290
400	7661	183402
401	7681	183406
402	7698	183338
403	7726	183528
